Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3AeicLnm55RqcXGBKYQolM,"King","Communion (Deluxe)","Olly Alexander (Years & Years)",2015-07-10,215360,76,false,,2025-03-13T19:47:53Z,"","Polydor Records",0.56,0.857,4,-4.145,0,0.0384,0.0594,0,0.381,0.432,119.975,4
spotify:track:11sSvwrDX5BBUhbBZRKUxy,"Every Day Is Exactly The Same","With Teeth (Bonus Tracks)","Nine Inch Nails",2005-05-03,294893,57,false,,2025-03-13T13:12:51Z,"industrial rock,industrial,industrial metal,alternative metal,nu metal","Nothing",0.607,0.941,0,-6.163,1,0.0486,0.0217,0.071,0.119,0.414,144.04,4
spotify:track:2rbcCco3PrSyMinVJdh61J,"Fire Woman","Sonic Temple","The Cult",1989-04-10,307960,63,false,,2025-03-12T10:18:21Z,"hard rock,glam metal,gothic rock","Beggars Banquet",0.49,0.854,7,-7.489,1,0.0407,0.000258,0.000735,0.299,0.443,132.032,4
spotify:track:1WZ43lepi3dDtruxqeaZpg,"Nightmare","Nightmare","RJ Pasin,Ichika Nito",2024-10-11,157378,49,false,,2025-03-12T09:44:45Z,"phonk,math rock","Isekai Records",0.454,0.553,7,-8.966,1,0.0318,0.081,0.917,0.14,0.161,179.99,4
spotify:track:0ZTMohAj0uQlpRcl8a6SHD,"BETTER HELL (Thicc boi)","AMERICAN MOTOR SPORTS","Bilmuri",2024-06-28,142205,60,true,,2025-03-10T14:10:46Z,"post-hardcore","Columbia",0.598,0.878,2,-4.484,1,0.0792,0.00571,0,0.201,0.721,146.017,4
spotify:track:4U3u1TbfSWMbrsVJVMMIyH,"Sunchaser","Blue Garden","Delta Sleep",2024-10-11,255466,29,false,,2025-03-04T09:29:50Z,"math rock,midwest emo","Sofa Boy Records",0.448,0.687,4,-9.098,1,0.0744,0.0428,0.0432,0.0679,0.249,158.553,5
spotify:track:0qficTPPmYbxMnUMhrRaYC,"Weak Lungs","Special Feeling","Sincerely,Tanner Perkins",2023-10-06,231605,42,false,,2025-03-04T09:10:34Z,"math rock,post-hardcore","Sincerely",0.453,0.837,3,-3.991,1,0.0308,0.0011,0.0000695,0.0478,0.436,160.013,4
spotify:track:3ejvAIZxccW0Yio4a72ukg,"WHAT'S THE MOVE? (feat. Future and BabyDrill)","THE FIRST TIME","The Kid LAROI,Future,BabyDrill",2023-11-10,199547,54,true,,2025-02-26T11:38:04Z,"rap","Columbia",0.525,0.552,1,-6.575,1,0.0709,0.0332,0,0.378,0.148,144.382,4
spotify:track:57DTKgkc3CjkUxg0urNl1u,"I know love (feat. The Kid LAROI)","I know love (feat. The Kid LAROI)","Tate McRae,The Kid LAROI",2025-02-14,156222,60,true,,2025-02-26T11:16:46Z,"","RCA Records Label",0.561,0.744,1,-4.461,0,0.104,0.0166,0,0.342,0.467,180.116,4
spotify:track:6RtPijgfPKROxEzTHNRiDp,"Rude","Don't Kill the Magic","MAGIC!",2014-06-25,224840,84,false,,2025-02-21T20:44:59Z,"","Latium Records/RCA Records",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4
spotify:track:5ARrtxJLVCeTv5TWo1oKgC,"In The Waiting Line","Simple Things","Zero 7,Sophie Barker",2001,271520,35,false,,2025-02-17T06:58:35Z,"trip hop,downtempo","New State Music",0.561,0.33,5,-13.51,1,0.0268,0.76,0.134,0.106,0.378,79.01,4
spotify:track:2u9S9JJ6hTZS3Vf22HOZKg,"NOKIA","$ome $exy $ongs 4 U","Drake",2025-02-14,241023,88,true,,2025-02-14T18:06:27Z,"rap","OVO Sound",0.537,0.727,5,-4.184,1,0.15,0.247,0,0.173,0.508,106.037,4
spotify:track:6kYTywTCfycHZcH0WdLyRy,"No Tears","The Diary","Scarface",1994,146280,38,true,,2025-02-14T06:33:03Z,"southern hip hop,gangster rap,old school hip hop,g-funk","Rap-A-Lot Records",0.88,0.818,1,-7.427,1,0.359,0.0353,0,0.713,0.726,81.93,4
